lag,full_res,half_pyramid
278,0.000604,0.000736
279,0.001016,0.000937
280,0.002109,-0.000469
281,0.002527,0.000175
282,0.001351,0.001514
283,0.000843,0.001629
284,0.000180,-0.000792
285,-0.000766,0.001472
286,0.002195,0.001532
287,0.000625,0.001082
288,0.004330,0.000166
289,-0.001567,0.000777
290,0.000906,0.000327
291,0.002144,-0.000001
292,0.000359,0.000372
293,-0.000789,0.001457
294,0.001861,0.000750
295,-0.000129,0.001417
296,0.001345,0.001124
297,0.000214,-0.000631
298,0.000530,0.001434
299,0.001680,0.000152
300,0.000252,0.000142
301,0.000721,0.001451
302,-0.000070,0.001395
303,0.000642,-0.000037
304,0.001234,0.000942
305,0.002791,0.000287
306,0.001139,0.001387
307,0.001082,-0.000497
308,-0.001299,0.000469
309,0.000218,0.000027
310,0.001591,0.001807
311,0.002052,0.000278
312,0.001688,-0.000872
313,0.000638,0.001145
314,-0.001009,-0.000461
315,-0.000091,0.001330
316,-0.001171,-0.000364
317,0.000677,0.001697
318,0.001018,-0.000786
319,-0.000097,0.000360
320,0.002016,0.000473
321,-0.001535,-0.000428
322,0.002624,0.000504
323,0.002395,-0.000192
324,0.000724,-0.000565
325,0.002165,0.000677
326,0.000756,-0.000232
327,0.000617,-0.000130
328,-0.000802,0.001403
329,-0.000366,0.001128
330,0.000867,0.000569
331,-0.000187,0.000621
332,0.000685,-0.000198
333,0.000682,0.000640
334,0.001118,-0.000580
335,0.002271,0.000367
336,-0.001614,-0.000270
337,0.000769,-0.001007
338,-0.000160,0.000654
339,0.001568,0.000306
340,0.000803,-0.000300
341,0.001223,0.000073
342,-0.000511,-0.000380
343,0.001402,0.000304
344,0.000525,0.000685
345,0.000869,-0.001054
346,-0.001029,0.001871
347,0.001083,0.001507
348,0.000007,0.000721
349,0.000666,0.000265
350,0.001132,-0.000677
351,-0.000315,-0.000141
352,0.000654,-0.000163
353,0.000280,-0.000128
354,-0.000962,0.000227
355,0.000008,0.000772
356,0.001000,0.001577
357,-0.000553,0.000901
358,-0.000257,0.000340
359,0.000363,-0.000159
360,-0.000824,-0.000110
361,0.000976,0.001134
362,-0.000295,-0.000407
363,0.001059,0.000335
364,0.000363,0.000993
365,0.000916,-0.000023
366,0.000963,0.000552
367,0.000001,0.000477
368,0.002824,-0.000186
369,-0.000292,-0.000375
370,0.000208,0.001177
371,0.001064,0.000629
372,0.000359,0.000458
373,0.000428,0.000348
374,0.000228,0.000105
375,-0.001090,-0.000359
376,0.001409,-0.000103
377,0.000485,0.000361
378,0.000149,0.000165
379,0.000075,0.000864
380,0.000609,0.001051
381,0.000624,0.000938
382,0.001646,0.003245
383,0.002406,0.001733
384,-0.001412,0.001093
385,0.000829,-0.000096
386,0.000210,0.000182
387,0.000758,0.000591
388,0.001721,0.001100
389,-0.000232,0.000883
390,-0.000108,0.000596
391,0.000602,0.000533
392,0.000974,-0.000287
393,-0.001226,0.000086
394,-0.000049,0.000699
395,-0.000257,-0.000756
396,0.000918,0.000466
397,0.001406,-0.000167
398,0.001057,-0.000186
399,-0.000420,0.000173
400,0.000743,0.000950
401,-0.000450,0.000063
402,0.000882,0.001139
403,0.000457,-0.000280
404,-0.000377,0.000832
405,0.001724,-0.000296
406,0.000731,0.000214
407,0.000212,0.000668
408,0.000383,0.000191
409,0.001023,-0.000423
410,-0.000647,0.000209
411,-0.000084,-0.000299
412,0.000836,0.000221
413,0.000294,0.000332
414,0.000268,0.000592
415,0.000611,0.000047
416,0.000036,0.000258
417,0.000079,0.000545
418,0.000491,0.000487
419,0.000029,0.000224
420,0.000184,-0.000032
421,-0.000011,-0.000271
422,0.000731,-0.000240
423,0.000798,0.000421
424,0.000200,0.000612
425,0.000458,-0.000001
426,0.000240,0.000658
427,0.000791,0.000014
428,0.000496,0.000184
429,0.000755,0.000140
430,0.000761,0.000680
431,-0.000378,0.000085
432,0.000207,-0.000150
433,-0.000465,-0.000190
434,0.000395,0.000120
435,-0.000206,-0.000044
436,0.000615,-0.000002
437,0.000342,0.000006
438,-0.000023,0.000309
439,0.001181,0.000257
440,-0.000266,0.000666
441,0.001163,0.000473
442,0.000446,0.000674
443,0.000309,-0.000206
444,-0.000014,-0.000012
445,0.000510,0.000296
446,-0.000453,0.000134
447,0.000527,0.000150
448,0.000922,-0.000197
449,-0.000117,0.000242
450,0.001234,0.000352
451,-0.000606,-0.000065
452,0.000813,-0.000149
453,-0.000882,0.000505
454,0.001104,0.000079
455,-0.000599,0.000391
456,-0.000259,-0.000051
457,0.000788,0.000072
458,-0.000749,0.000187
459,0.000563,0.000198
460,0.000161,0.000573
461,0.000605,0.000521
462,0.001218,-0.000162
463,0.000360,-0.000044
464,-0.000186,0.000544
465,0.000759,0.000117
466,0.000263,-0.000088
467,0.000752,-0.000202
468,0.000395,0.000156
469,0.000942,-0.000024
470,0.000326,0.000071
471,0.000750,0.000142
472,-0.000169,-0.000057
473,0.001228,0.000070
474,0.000590,0.000098
475,0.000810,-0.000202
476,0.000265,0.000134
477,0.000910,0.000204
478,0.000038,-0.000001
479,0.000058,0.000467
480,0.001122,0.000039
481,0.000253,0.000256
482,0.000299,0.000436
483,0.000376,-0.000275
484,0.000216,0.000054
485,0.000527,-0.000060
486,0.000222,0.000112
487,0.001012,0.000206
488,0.000367,0.000362
489,0.000458,0.000106
490,0.000658,0.000114
491,0.001201,0.000014
492,-0.000010,-0.000099
493,0.000172,0.000195
494,0.000729,0.000153
495,-0.000208,-0.000064
496,0.000147,0.000015
497,0.000198,0.000163
498,0.000640,0.000122
499,0.000637,0.000076
500,0.000463,0.000068
501,0.000175,0.000219
502,-0.000277,0.000170
503,0.001020,0.000268
504,0.000538,0.000144
505,0.001158,0.000182
506,0.000837,0.000144
507,-0.000018,0.000011
508,0.000310,-0.000014
509,0.001955,0.000064
510,0.001115,0.000150
511,0.000311,0.000085
512,0.001067,0.000122
