lag,whitened_autocorr
0,0.958033
1,0.005480
2,-0.000530
3,0.000853
4,0.000675
5,-0.000417
6,-0.000571
7,-0.000751
8,0.000585
9,-0.000426
10,0.000134
11,-0.000003
12,-0.000066
13,-0.000202
14,-0.000350
15,-0.000055
16,-0.000408
17,0.000056
18,-0.000478
19,-0.000098
20,-0.000224
21,0.000079
22,-0.000251
23,-0.000296
24,-0.000307
25,-0.000151
26,0.000288
27,-0.000569
28,-0.000579
29,-0.000360
30,-0.000095
31,-0.000436
32,0.000086
33,-0.000364
34,-0.000497
35,-0.000461
36,-0.000220
37,-0.001031
38,-0.000512
39,-0.000710
40,-0.000513
41,-0.000982
42,-0.000146
43,-0.000372
44,-0.000509
45,0.000275
46,-0.000296
47,-0.000245
48,-0.000597
49,-0.000172
50,0.000331
51,-0.000249
52,-0.000310
53,-0.000273
54,-0.000490
55,0.000329
56,0.000698
57,0.000460
58,0.000184
59,-0.000288
60,0.000182
61,0.000100
62,-0.000176
63,0.000411
64,-0.000598
65,-0.000943
66,0.000464
67,-0.000204
68,0.000394
69,0.000254
70,-0.000281
71,0.000378
72,0.000115
73,0.001054
74,-0.000250
75,0.000046
76,-0.000421
77,0.000439
78,-0.000981
79,-0.000190
80,0.000953
81,0.000574
82,-0.001339
83,-0.000048
84,0.000114
85,-0.000472
86,0.000165
87,0.000456
88,-0.001589
89,0.000324
90,0.001060
91,0.001181
92,-0.000263
93,-0.000408
94,0.001617
95,-0.000009
96,0.000043
97,0.001836
98,0.000049
99,-0.001313
100,-0.000666
101,0.000043
102,-0.001223
103,-0.000105
104,-0.000046
105,0.000224
106,-0.000922
107,-0.001148
108,-0.000313
109,-0.000722
110,0.002242
111,-0.001296
112,-0.000145
113,-0.000529
114,0.000787
115,-0.000212
116,-0.000233
117,0.001027
118,-0.000494
119,-0.000365
120,0.000615
121,0.001445
122,0.000339
123,0.002114
124,-0.002339
125,0.001624
126,0.011417
127,0.015530
128,0.073257
129,0.016229
130,0.008556
131,-0.000001
132,-0.002669
133,0.000617
134,0.000153
135,0.000994
136,0.000503
137,-0.000162
138,-0.000549
139,0.000553
140,0.001922
141,-0.000340
